"sst.anomaly","trend","cond__","effect1__","estimate__","se__","lower__","upper__"
-1.50500321644018,-0.0500041980849522,"1",-1.50500321644018,-1.83832778912446,0.305144560794238,-2.52703678277361,-1.18592116188547
-1.50381744796314,-0.0500041980849522,"1",-1.50381744796314,-1.83764810447108,0.304761969898651,-2.52552681118011,-1.18552461390734
-1.5026316794861,-0.0500041980849522,"1",-1.5026316794861,-1.83688795077975,0.304716164090468,-2.52400422546367,-1.18531813878077
-1.50144591100907,-0.0500041980849522,"1",-1.50144591100907,-1.83620738421233,0.304257777334573,-2.52247692399932,-1.18560160133814
-1.50026014253203,-0.0500041980849522,"1",-1.50026014253203,-1.83543003990593,0.303850629125295,-2.52067837005987,-1.18520009780759
-1.49907437405499,-0.0500041980849522,"1",-1.49907437405499,-1.83467538907186,0.303464048489414,-2.51914118856869,-1.18479858870734
-1.49788860557796,-0.0500041980849522,"1",-1.49788860557796,-1.83400518064293,0.303102344836508,-2.51728798585691,-1.18439707394895
-1.49670283710092,-0.0500041980849522,"1",-1.49670283710092,-1.83318883774754,0.302886918168204,-2.51578215875891,-1.18399555344402
-1.49551706862388,-0.0500041980849522,"1",-1.49551706862388,-1.83230950710568,0.302618598512028,-2.51430315327081,-1.18361648979108
-1.49433130014685,-0.0500041980849522,"1",-1.49433130014685,-1.8317660314843,0.302202988557592,-2.51317441729845,-1.18422553366894
-1.49314553166981,-0.0500041980849522,"1",-1.49314553166981,-1.83128966765736,0.301921881171028,-2.51195116702597,-1.18488486190954
-1.49195976319277,-0.0500041980849522,"1",-1.49195976319277,-1.83053338537708,0.301931902514341,-2.51065945199604,-1.1856431633253
-1.49077399471574,-0.0500041980849522,"1",-1.49077399471574,-1.82991256578882,0.302187389093529,-2.50887441131625,-1.18660634980451
-1.4895882262387,-0.0500041980849522,"1",-1.4895882262387,-1.82920784485122,0.302099751586228,-2.5073651492722,-1.18756904905506
-1.48840245776166,-0.0500041980849522,"1",-1.48840245776166,-1.82822190669977,0.301823368336369,-2.50584938732607,-1.18765032340296
-1.48721668928463,-0.0500041980849522,"1",-1.48721668928463,-1.82746809143091,0.301485923118333,-2.50433362711162,-1.18768681508956
-1.48603092080759,-0.0500041980849522,"1",-1.48603092080759,-1.82681509477082,0.301224936058684,-2.50281786865255,-1.18727994516663
-1.48484515233055,-0.0500041980849522,"1",-1.48484515233055,-1.82603033086632,0.300901717085663,-2.5013021119726,-1.18772450639117
-1.48365938385352,-0.0500041980849522,"1",-1.48365938385352,-1.82524506297711,0.300517810789422,-2.49978635709549,-1.18770182561357
-1.48247361537648,-0.0500041980849522,"1",-1.48247361537648,-1.82446008847205,0.300429409458066,-2.49827060404494,-1.18735478808752
-1.48128784689944,-0.0500041980849522,"1",-1.48128784689944,-1.82373553201785,0.300283174857745,-2.49686080443478,-1.18700781638343
-1.48010207842241,-0.0500041980849522,"1",-1.48010207842241,-1.82292396565237,0.299866397043554,-2.49561755109783,-1.1866609113452
-1.47891630994537,-0.0500041980849522,"1",-1.47891630994537,-1.82202381079013,0.299443723964091,-2.494111099924,-1.18631407381666
-1.47773054146833,-0.0500041980849522,"1",-1.47773054146833,-1.82117677441888,0.299172010588566,-2.49252561408193,-1.18598789670464
-1.4765447729913,-0.0500041980849522,"1",-1.4765447729913,-1.82027951892653,0.29893896822016,-2.49094025181412,-1.18579945572809
-1.47535900451426,-0.0500041980849522,"1",-1.47535900451426,-1.81951900954323,0.298463454034804,-2.48935501462756,-1.18570510224502
