"model","year","borealization_index"
"ACCESS-ESM1-5",1962,-1.13037377141035
"ACCESS-ESM1-5",1962,-3.35903623712907
"ACCESS-ESM1-5",1962,-1.2031124423676
"ACCESS-ESM1-5",1962,-0.858145138550195
"ACCESS-ESM1-5",1963,-0.0766388213652285
"ACCESS-ESM1-5",1963,-2.40237120902668
"ACCESS-ESM1-5",1963,-2.01726215907773
"ACCESS-ESM1-5",1963,-1.59119212393387
"ACCESS-ESM1-5",1964,-2.57947546490829
"ACCESS-ESM1-5",1964,-1.55850026653583
"ACCESS-ESM1-5",1964,-0.307061236174317
"ACCESS-ESM1-5",1964,-1.1377714319066
"ACCESS-ESM1-5",1965,-1.80868450250404
"ACCESS-ESM1-5",1965,-0.653131396629963
"ACCESS-ESM1-5",1965,-1.07594060092287
"ACCESS-ESM1-5",1965,-1.14198595579185
"ACCESS-ESM1-5",1966,-3.00318968978925
"ACCESS-ESM1-5",1966,-2.44050039368777
"ACCESS-ESM1-5",1966,-1.73381806413938
"ACCESS-ESM1-5",1966,-2.51054862886232
"ACCESS-ESM1-5",1967,-2.52365319892336
"ACCESS-ESM1-5",1967,-1.68206738393259
"ACCESS-ESM1-5",1967,-0.123085772926622
"ACCESS-ESM1-5",1967,-1.70033284719115
"ACCESS-ESM1-5",1968,-2.40203507971103
"ACCESS-ESM1-5",1968,-2.27526036442156
"ACCESS-ESM1-5",1968,-1.67209691033825
"ACCESS-ESM1-5",1968,-2.83492347002338
"ACCESS-ESM1-5",1969,-1.20671600337717
"ACCESS-ESM1-5",1969,0.452218111685556
"ACCESS-ESM1-5",1969,-1.40431604805782
"ACCESS-ESM1-5",1969,-0.408742649394526
"ACCESS-ESM1-5",1970,-1.43186728178851
"ACCESS-ESM1-5",1970,-1.93693481974948
"ACCESS-ESM1-5",1970,-1.29798971835098
"ACCESS-ESM1-5",1970,-1.14865364617387
"ACCESS-ESM1-5",1971,-1.21628748405133
"ACCESS-ESM1-5",1971,-1.61107915708188
"ACCESS-ESM1-5",1971,-0.538461879904082
"ACCESS-ESM1-5",1971,-1.50960690080253
"ACCESS-ESM1-5",1972,-1.20462340561585
"ACCESS-ESM1-5",1972,-0.424550906908404
"ACCESS-ESM1-5",1972,-2.44927232754972
"ACCESS-ESM1-5",1972,-2.08462081003303
"ACCESS-ESM1-5",1973,-0.463357007086578
"ACCESS-ESM1-5",1973,0.0114127468224875
"ACCESS-ESM1-5",1973,-0.708086416869877
"ACCESS-ESM1-5",1973,-0.249597668556022
"ACCESS-ESM1-5",1974,-0.512580881992655
"ACCESS-ESM1-5",1974,1.54772186695533
"ACCESS-ESM1-5",1974,0.202519825218188
"ACCESS-ESM1-5",1974,0.297676220409039
"ACCESS-ESM1-5",1975,-1.38986876100761
"ACCESS-ESM1-5",1975,-2.16755383195513
"ACCESS-ESM1-5",1975,-0.510987955114345
"ACCESS-ESM1-5",1975,-1.03946163930557
"ACCESS-ESM1-5",1976,-1.09545615241514
"ACCESS-ESM1-5",1976,-1.18495748985132
"ACCESS-ESM1-5",1976,-2.25083655727452
"ACCESS-ESM1-5",1976,-1.49232015198168
"ACCESS-ESM1-5",1977,-2.228717473938
"ACCESS-ESM1-5",1977,-1.47402248818243
"ACCESS-ESM1-5",1977,-2.39477316864642
"ACCESS-ESM1-5",1977,-1.74325020470155
"ACCESS-ESM1-5",1978,-2.47897120045211
"ACCESS-ESM1-5",1978,-2.27165579655443
"ACCESS-ESM1-5",1978,-2.45211517404516
"ACCESS-ESM1-5",1978,-2.53525026949381
"ACCESS-ESM1-5",1979,-3.08270614015809
"ACCESS-ESM1-5",1979,-2.01528583454424
"ACCESS-ESM1-5",1979,-3.40103731876706
"ACCESS-ESM1-5",1979,-2.83980889694084
"ACCESS-ESM1-5",1980,-1.35773443526521
